Geneid1,Geneid,HD1_Blood,HD2_Blood,HD6_Blood,HD1_1H,HD2_1H,HD6_1H,HD1_2H,HD2_2H,HD6_2H,HD1_4H,HD2_4H,HD6_4H,HD1_6H,HD2_6H,HD6_6H
ENSG00000255336,AP003181.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278640,RF00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000152578,GRIA4,2,0,0,0,5,0,3,6,2,4,5,0,4,4,8
ENSG00000255403,AP000641.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000222663,RNU4-55P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000252081,RNU6-277P,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000170903,MSANTD4,40,41,34,92,200,10,331,365,38,283,666,101,355,414,464
ENSG00000182359,KBTBD3,11,18,10,12,24,6,30,42,10,36,83,6,76,59,41
ENSG00000149313,AASDHPPT,57,89,68,155,331,37,613,723,83,641,1100,100,698,810,607
ENSG00000254433,AP001001.1,0,2,3,2,0,0,4,2,0,0,0,0,2,4,5
ENSG00000254580,AP001001.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254811,AP002001.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000255065,AP002001.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000152402,GUCY1A2,0,0,0,0,0,0,2,5,0,0,0,0,0,0,2
ENSG00000274584,AP001282.2,0,0,0,0,1,0,0,2,0,0,2,0,0,2,1
ENSG00000213252,AP001282.1,2,2,0,4,2,0,1,2,0,3,2,0,2,10,9
ENSG00000255353,AP003057.1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1
ENSG00000261098,AP000766.1,14,5,10,2,8,4,9,11,2,8,21,0,12,14,41
ENSG00000152404,CWF19L2,142,203,142,182,262,88,322,321,94,305,597,66,355,319,300
ENSG00000225215,SMARCE1P1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
ENSG00000137760,ALKBH8,6,18,12,64,143,4,276,314,24,297,567,56,313,385,540
ENSG00000270969,AP001823.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000110675,ELMOD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000255483,AP000889.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254758,AP000889.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000170290,SLN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000254702,AP002353.1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
ENSG00000110660,SLC35F2,10,22,4,373,1114,33,1879,2427,227,2289,4142,365,2712,3317,1874
ENSG00000240652,AP001024.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000179331,RAB39A,5,12,3,2,5,0,0,0,2,0,0,0,0,0,2
ENSG00000166266,CUL5,69,77,58,199,393,61,813,900,87,829,1749,187,976,1044,1228
ENSG00000200855,RF00019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ENSG00000255467,AP002433.1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
ENSG00000075239,ACAT1,18,39,23,118,430,34,711,1054,103,795,1510,150,881,1196,967
ENSG00000149308,NPAT,179,200,131,192,309,126,406,536,202,347,853,531,416,501,659
ENSG00000149311,ATM,2265,2859,1620,2055,2413,1058,2374,1342,719,1409,1522,269,1021,822,1231
ENSG00000206967,RF00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000166323,C11orf65,6,6,18,12,10,8,19,11,4,13,33,0,18,18,20
ENSG00000178202,KDELC2,22,23,2,69,165,12,293,363,58,347,611,63,358,362,448
ENSG00000110723,EXPH5,2,6,0,133,333,26,861,1227,138,871,1924,141,1148,743,1375
ENSG00000178105,DDX10,16,22,12,114,333,30,547,777,68,630,1643,94,820,825,866
ENSG00000240698,RPS2P39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254730,AP002453.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000255379,CYCSP29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000203334,AP003027.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000255528,AP003123.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000201243,RNU6-654P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000200613,RNA5SP349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264997,RF00157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000255028,AP003049.2,0,0,0,0,2,0,1,5,2,6,10,0,3,0,1
ENSG00000185742,C11orf87,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ENSG00000254890,AP003049.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254482,AP003102.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254659,AP002444.1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
ENSG00000254798,TFAMP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224776,RPSAP50,0,0,0,0,0,0,0,3,0,0,0,2,4,0,11
ENSG00000270423,AP001981.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000255210,AP001889.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149289,ZC3H12C,10,10,12,144,284,18,644,656,259,589,995,1280,667,705,2016
ENSG00000137710,RDX,31,38,27,358,967,51,1889,2475,255,2202,5443,341,2612,3004,2026
ENSG00000254416,AP000924.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000137714,FDX1,14,10,14,68,156,10,233,401,40,277,456,68,383,447,326
ENSG00000137727,ARHGAP20,0,0,0,14,12,2,57,106,2,48,173,33,74,111,84
ENSG00000233497,HNRNPA1P60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000255149,AP002963.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000200168,RNA5SP350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271390,AP003973.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271584,LINC02550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000239354,RPS17P15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270202,AP003973.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000150750,C11orf53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196167,COLCA1,0,0,0,0,0,0,0,2,0,4,0,0,0,1,2
ENSG00000214290,COLCA2,0,2,0,2,0,0,6,4,2,2,8,0,11,3,5
ENSG00000264032,MIR4491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000110777,POU2AF1,0,10,14,2,2,6,4,0,6,2,0,9,0,0,6
ENSG00000253099,RNU2-60P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000255428,AP002008.3,0,0,0,0,0,0,6,0,0,2,2,0,4,2,0
ENSG00000255093,AP002008.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000137707,BTG4,0,0,0,1,2,0,0,0,0,2,2,0,0,2,4
ENSG00000207811,MIR34B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207562,MIR34C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254980,AP002008.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000183644,C11orf88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204381,LAYN,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4
ENSG00000170145,SIK2,86,112,80,195,302,66,700,685,125,805,1151,133,773,697,666
ENSG00000235286,AP000925.1,6,0,0,2,2,0,2,0,2,1,2,0,0,2,0
ENSG00000223324,RN7SKP273,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ENSG00000137713,PPP2R1B,67,67,18,133,202,42,431,484,76,500,733,97,521,574,690
ENSG00000254990,AP001781.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000086848,ALG9,2,8,3,23,38,1,83,92,14,107,194,10,91,89,126
ENSG00000258529,AP001781.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254450,ALG9-IT1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000254949,GNG5P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000255561,FDXACB1,2,2,0,2,1,2,17,15,2,4,14,6,19,10,24
ENSG00000137720,C11orf1,0,12,4,46,110,4,263,280,26,271,563,34,344,333,277
ENSG00000176343,RPL37AP8,0,0,0,0,1,0,1,0,0,2,1,2,1,1,2
ENSG00000109846,CRYAB,0,0,0,4,5,0,0,6,0,4,18,4,2,12,6
ENSG00000170276,HSPB2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
ENSG00000254445,HSPB2-C11orf52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149300,C11orf52,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1
ENSG00000150764,DIXDC1,14,8,5,4,20,4,26,21,5,14,31,10,18,18,49
ENSG00000238965,RNA5SP351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000255286,AP000907.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000255334,AP000907.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000150768,DLAT,13,22,12,136,369,14,703,978,96,845,1553,138,987,964,1077
ENSG00000230911,PPIHP1,1,1,0,0,0,0,0,3,0,0,0,1,2,1,0
ENSG00000238444,RNU6-893P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271025,AP000907.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000150773,PIH1D2,0,0,0,2,10,0,6,22,0,18,29,10,10,8,25
ENSG00000150776,NKAPD1,115,95,114,161,352,34,508,665,76,436,1160,117,549,664,861
