lfc.1h	lfc.2h	lfc.4h	lfc.6h	lfc.10h
1.34646335638245	2.16609031289419	2.13854183065629	2.58206900952812	1.95771546114811
2.0990050212376	3.39486822766787	3.70977813014275	3.72079940586314	3.33624953499131
3.76303968553107	6.74523217451937	6.90981153108288	6.7694910582871	4.18962419051083
2.10450232624955	2.99606173445858	3.13580416400323	3.33533303239998	3.48246731436111
2.61846734027258	3.88406765097624	4.33479405115128	4.52266260609671	3.05370152806829
1.35068600700196	2.12188924303173	2.54978203078745	2.57397054019909	1.90722371371308
1.57964860045941	2.57117046468862	2.87651062722748	3.08956829483943	2.18262576738262
1.50087412461923	2.53537950739703	2.63672659591279	2.82698638124538	1.43437196637039
1.52183302180049	1.82529832072676	1.94059364612547	2.03334161266025	1.60166861789552
2.02815923467825	2.92699861420179	3.13633376693451	3.33923573704777	2.3650110519928
1.64135813584463	2.42447838615824	2.19766343949134	2.56803959721515	1.96740919938665
2.10745098050743	2.9634575095051	3.18784303291732	3.41000652917692	2.66679810365986
1.60652554259208	2.47552124463312	2.70754198724186	2.88300295124601	2.43400302716433
1.73437236870736	2.43435958860539	2.69467465673108	2.93185039995277	2.24521426507065
2.36270945051586	3.89816968523874	3.79978613452977	3.81639625115769	3.26407576984105
1.12395151197604	1.50550037238146	1.67694542450988	1.80996620542367	1.46075175896939
1.44695777935603	1.93683667443718	2.17138082293054	2.29064862096749	1.62127469840919
1.82481767186396	2.88772722583665	3.18327220665309	3.40835758171418	2.26929847811897
1.6091910831589	2.48504362726716	2.78418150451431	2.74380457771487	2.77658683118716
1.24902071240635	2.22214813240437	2.52115132036088	2.72762026412272	2.78104038173221
1.19099382694537	1.87475550749172	2.2636499217171	2.41105017951971	2.02986076992091
1.61414355748596	2.49027399366975	2.89997529416593	3.10200526859945	2.29726737030609
1.84743184690587	2.63120935442248	3.03454872674704	3.20582338067704	2.42074255280287
1.59180178976856	2.4600313357819	2.63846291651672	3.16158183705022	2.54534991190962
1.80782638751092	2.60739647582603	2.85907902640118	3.32315617565653	2.58907687363252
2.19668637141985	3.30823458354165	3.55161675472069	3.66845555979698	3.08176585752579
1.30046292731247	2.16556161327777	2.32221526959007	2.73185702494703	2.8347450491514
2.39515244554438	3.48569532346463	3.81317644295096	4.20347369560584	3.11862207913737
2.07538457265104	3.4791467921222	3.35387927904707	4.07394989086195	2.40353170402558
1.78563444570188	2.79609610511299	3.24858312353716	3.54865187263134	2.12168889900253
4.81887770790163	5.95546314438839	5.67019648186471	6.63974233062552	1.53439025703567
1.5421062505512	1.98686541376352	1.88529740234198	2.53357096399707	2.58968658351544
1.72743467713269	2.35279444989807	2.40893944957046	2.54725943410557	1.35097701387946
1.64385962677409	2.41007421237793	2.62745459334878	2.77352237467152	2.07774772283655
2.1800415764503	3.07327949396354	3.51136025483871	3.3746326162808	3.02379825449124
2.07527093652927	3.35688776369507	3.32849622033472	3.80978429490748	1.33768957864788
2.04754574629467	3.00706644669401	3.41121170520799	3.52777631793697	2.60858850085857
1.43943503843087	2.19697674464839	1.70917906120267	1.92604091631764	1.70041946852444
1.77308289098756	2.3311780264761	1.97952335722035	2.59820327353044	1.84723094977157
2.06741050117632	2.96860126587364	3.10024443402767	3.34522615747963	2.43979318426335
2.04776043335742	1.87046260879148	2.97939163264979	2.56811184600466	3.28286001299656
3.07804219269564	3.82569536989163	4.11741512366388	4.47851712650192	3.06775101348236
1.69795109374509	2.57383960646132	2.92863098158439	3.31257840455532	2.87476749290685
1.10943039160068	1.9837681354803	2.17592680375708	2.49005293890185	1.72640204183109
1.86541422994258	2.77618408896313	2.73150258037911	3.46610926123828	2.67377432907339
1.59484040018514	2.33737615863433	2.60064019450985	2.70626302257337	2.14442993629635
5.33648840706449	6.46026596487753	7.36786658484729	7.10921194010806	5.32810221566766
1.8388496130101	2.14754648570494	2.12109649088631	2.26006505027392	1.89880159623351
1.60954384857521	2.51257313563641	2.94782968699694	3.2248936442084	2.8716831834711
1.79960431342474	2.50540984149905	2.79331774206396	2.88822152131354	2.41810201781839
1.47573965988374	1.79266228691339	1.47386642496262	2.00514006201163	2.85845386453553
4.64193118350303	5.49065939516662	5.94449161613508	6.39170784988185	3.18420389617357
1.75866574985722	2.92283692047461	3.02453677736028	3.59674620119047	2.27213372110897
4.42183653575222	3.98907091383912	3.91590501186683	4.2433239538822	3.21072081426434
1.89295200537829	2.86946293601061	3.11381769115728	3.05823014162557	2.30983364651703
1.70261918889015	2.84619466274141	2.99901409333826	2.97161016820581	1.34698853740563
1.62195788858143	2.86564220669533	3.09195837887297	3.45903615162558	3.30044278139066
1.78635489885686	2.65903234551563	2.93869887499148	3.25261482019291	2.70919881011233
1.37312816681134	2.07085677648109	2.26447248469835	2.70636526009006	1.54618340144409
1.88532750178929	2.81080387339883	2.99820797780488	3.31242194811927	2.71302912990338
1.47991394237031	1.82316933671576	2.3271001122795	2.61522280629255	1.37626519556305
4.5504198505656	5.32520490305886	5.09888763074485	5.44707002915099	4.72228782587338
1.49162187258588	1.98960841713517	2.2604994799509	2.66507440745181	2.27107803268443
5.55229846167156	5.96455553221143	5.84057255066679	6.56832564737924	3.63456106183141
1.37107500028382	1.94576380203145	2.28016340686656	2.66310507323859	2.3003083315026
1.7917462445479	2.31039676073644	2.90153331441563	3.13495353406165	2.85922487787724
1.93245472964928	2.7627442670511	3.09685012592542	3.36582290400277	2.1183537960887
2.3845592037539	3.46251345115994	3.55945323081921	3.88970284091643	2.98599573380824
1.71942814489173	2.33905744678182	2.59258573089568	2.76822434718653	2.19199849371242
4.28965799139355	5.6613164599323	6.09319780524159	5.51321775669363	1.58996894610458
3.72031594197769	5.00380850264946	5.54016447420019	5.6443797803342	2.79836721087438
1.79751742944457	2.95297087737724	2.73392283469502	3.42733916075987	1.22591277357654
1.96561963265964	2.89676708809271	3.1633106174335	3.19668350609434	2.48433493000567
2.99615999780675	3.5621591913056	3.79559619377167	3.91306861294255	2.06445041001298
