Geneid	Blood	1 hour	2 hours	4 hours	6 hours
RDM1	0	4.666666667	5.666666667	11.33333333	18.33333333
RDX	32	458.6666667	1539.666667	2662	2547.333333
RECQL4	6.666666667	47.66666667	82.33333333	81.66666667	175
REEP3	125	477	1441.333333	2144.666667	2337
REEP6	1.333333333	68.66666667	210	277.6666667	373.3333333
RELN	0	4	8.333333333	14.66666667	44.33333333
REN	0	4	11.66666667	30.66666667	20.66666667
RERG	0	8	24.33333333	30	43.33333333
REXO2	37.66666667	189	465	571.3333333	766.3333333
REXO4	23	106.6666667	284.3333333	377.3333333	501.6666667
RFC4	20.33333333	106.6666667	235	320	448.6666667
RFK	13	49	136.6666667	187.6666667	251.3333333
RGL1	20	68.33333333	250	277	306.3333333
RGS17	4.666666667	24.33333333	69.66666667	85.33333333	127.3333333
RGS20	0.666666667	17	38.33333333	55.33333333	71.33333333
RGS5	0	10.66666667	14.33333333	30	26.33333333
RHBDF1	0.666666667	163.3333333	497.6666667	521	696.3333333
RHBDL2	0	34.33333333	106	124.3333333	189.6666667
RHEBP2	19.66666667	62	153.3333333	157.3333333	202.3333333
RHOBTB3	48	305.6666667	1083.333333	1424.666667	1584.666667
RHOC	26	325	740.6666667	861.3333333	1323.333333
RHOD	0	73.33333333	225	304.6666667	418
RHPN2	3.333333333	48.33333333	182.6666667	225.6666667	268.6666667
RIDA	7	31.33333333	74.66666667	98.66666667	129.6666667
RIMS2	0	6.666666667	18.66666667	20.66666667	36.33333333
RIMS3	15.33333333	58.33333333	121.3333333	177.3333333	408.6666667
RIOK1	40.66666667	212.6666667	565.3333333	796	889.6666667
RIOX2	27.33333333	228.3333333	673	1164.666667	1139
RIPK4	8.666666667	104.6666667	227.6666667	238.3333333	412.3333333
RITA1	3.666666667	104.3333333	250	358.6666667	574.6666667
RMDN3	33.33333333	165	512.3333333	567.3333333	812
RMND1	21.33333333	167	368.6666667	529.6666667	571.3333333
RNASE1	2.666666667	591	2365.666667	2340.666667	2520.666667
RNASEH2A	10.66666667	46.66666667	101.6666667	106	180.6666667
RND1	0.666666667	55.33333333	68.33333333	58.66666667	59.33333333
RND3	0.666666667	438	1497.666667	2487.333333	2828
RNF187	131	901	2751.333333	3157	4537
RNF212	0.333333333	52.33333333	149	232.6666667	292.6666667
RNF215	21.66666667	68.33333333	98.66666667	97.66666667	211.6666667
RNF217	13	53	147.6666667	201.6666667	206
RNF222	3.333333333	30.33333333	47	26.66666667	57
RNF223	0	32.66666667	68.66666667	94.66666667	173.6666667
RNF26	29.66666667	164.6666667	329	421	576.3333333
RNF39	25.33333333	135.3333333	344	366.6666667	464.6666667
RNF43	5.333333333	114	334.3333333	460.3333333	460.3333333
RNH1	149.6666667	612.6666667	1390.333333	1660.333333	2136.666667
RNLS	0.666666667	27.33333333	80.66666667	111	148
RNU6-403P	0	6	16.33333333	15.33333333	23.66666667
ROBO1	2.666666667	36.33333333	129.3333333	198.3333333	236
ROMO1	39.33333333	135	279.6666667	306	527.6666667
ROR1	0	8.666666667	33	79	103.3333333
ROS1	0	126.3333333	472.6666667	815.3333333	696.6666667
RP1	0	19.66666667	91	116	140.6666667
RP9	8.333333333	36.66666667	64.66666667	108.3333333	124.3333333
RPAP1	32	168.6666667	411	438.3333333	606
RPE	18.33333333	190	555	811.6666667	958.3333333
RPF2	7	323.3333333	996.3333333	1583.666667	1757.333333
RPGRIP1L	5.333333333	41.33333333	116	179.3333333	165.6666667
RPL10A	606.3333333	2945.333333	6694	8508.666667	12205.66667
RPL12	994.6666667	4489.666667	9884.666667	15676.33333	18992.66667
RPL22L1	30.66666667	110	237	264.3333333	388
RPL23A	320.6666667	2146.666667	5094	11025	10698.33333
RPL24	445.3333333	2010	4549.666667	5976	8657.666667
RPL24P4	22	117	279	1147.333333	481.6666667
RPL26	111.3333333	469.3333333	1199	1211	2269.333333
RPL26P19	27.66666667	162	353.6666667	421.6666667	684.3333333
RPL27	785.3333333	2518.666667	5495.666667	8209.333333	10293.33333
RPL35	333.6666667	1593	3185	4053.333333	5634
RPL35A	594	2148.666667	4958.666667	6556	9325
RPL37A	730	3384	7663.333333	9802	14608
RPL39L	0.666666667	182.6666667	380.3333333	465	657.6666667
RPL3P2	1.666666667	13	26	22.33333333	37.66666667
RPL7L1	115	676	2119.666667	2798.333333	3809.666667
RPL8	988	3644.666667	7992.333333	9776.666667	14904.66667
RPLP0	804.3333333	6713	16704.33333	20368.33333	32157.33333
RPLP0P2	0	6.666666667	21.66666667	14.66666667	41.66666667
RPLP0P6	39.66666667	282.3333333	718.6666667	1014.666667	1448.333333
RPN2	344.3333333	1221	3030.333333	4137.333333	5402.333333
RPP25	4	74	206.6666667	236.3333333	355
RPP40	3	33.33333333	83.66666667	161.3333333	203.6666667
RPS18	867.3333333	7138.666667	17650.66667	23507.66667	34542
RPS2	1222.666667	4888.333333	9984.333333	13039.66667	18711.66667
RPS21	255.3333333	1576.666667	3519.666667	4247.666667	6581.333333
RPS28P7	11.33333333	175	348	498.6666667	719.6666667
RPS3	1696	7532.666667	18042	22270	36364.33333
RPS5	401.6666667	1986	4505	5566	8450
RPS6KA2	89.66666667	677.3333333	2078	2884.666667	3243.333333
RPS6KA6	0.666666667	31.33333333	128.6666667	170.6666667	195
RPS7P1	113.6666667	407.3333333	937.6666667	1149.666667	1611.666667
RPS8	891	3593.333333	8364	9368.666667	15146
RPSAP52	0	3.666666667	9.666666667	10.33333333	23
RPTOR	34.66666667	196	508.6666667	625	827.6666667
RPUSD4	32	109.6666667	265.6666667	289.6666667	571.3333333
RRAS	5.333333333	145	348.3333333	465	664
RRAS2	5.333333333	129.6666667	313.3333333	476.6666667	570
RRM1	27.66666667	144	397.6666667	526.3333333	679.6666667
RRM2	5.666666667	142.6666667	347	490	701
RRN3	61	365.6666667	1057	1418.666667	1482.333333
RRP1	19.33333333	171	453	541.6666667	891.3333333
RRP15	13.33333333	134	391.6666667	637.6666667	688.3333333
RRP1B	48.66666667	298.3333333	804.3333333	1191.333333	1408.333333
RRP9	18.66666667	120	295.3333333	323	532.6666667
RRS1	6.666666667	90.33333333	265	415.3333333	479
RSL1D1	115.6666667	1009.333333	2920	4851.666667	4684.666667
RSL24D1	163.3333333	509	1194.333333	1804.666667	1984
RTCB	56.33333333	291.3333333	836.3333333	1030.666667	1472
RTKN	0	131.3333333	376	424.6666667	731
RTL6	24	96.33333333	252	342.3333333	490.3333333
RTL8A	24	205.6666667	620.3333333	898.3333333	1049.333333
RTN4R	0	12	31.33333333	38.66666667	57.33333333
RTN4RL2	0	5.333333333	19.33333333	35	37.66666667
RTRAF	120.3333333	660.3333333	1817	2500.666667	3066.666667
RUFY3	22.33333333	127.6666667	306.3333333	423.6666667	487.6666667
RUSC1	30	112.6666667	257	282.6666667	484.6666667
RUSC2	7	74	189.3333333	276	316
RUVBL1	33	244.6666667	800.3333333	1056.333333	1364.333333
RUVBL2	48	338	840.6666667	961.3333333	1437
RWDD2B	7.333333333	72.33333333	193	276.6666667	358
RXYLT1	11.33333333	75.66666667	245.6666667	354.6666667	385.6666667
S100A10	105	1180.333333	2528	3582.333333	4260.333333
S100A13	9.333333333	50.33333333	134	122.6666667	252.3333333
S100A14	9.666666667	1736	5065.333333	8005.666667	9704.666667
S100A16	2	690	1680.666667	2496	3275
S100A2	5	477	968.3333333	1739.666667	2563.666667
S100A5	1	21.66666667	52	78.66666667	110.3333333
SAA1	0	121.6666667	423.3333333	408.3333333	550.6666667
SAA2	0	8	21	26.33333333	52.66666667
SAC3D1	2.666666667	20.33333333	61.33333333	52	124
SAE1	90.33333333	474	1032.333333	1388.333333	1766.333333
SAMD11	0	12	29.66666667	19.66666667	45
SAMD12	6.666666667	387.6666667	1701.333333	2516.666667	2619.666667
SAMD12-AS1	0.666666667	15.33333333	48.66666667	54.66666667	69
SAMD4A	8	165.3333333	439.3333333	734.3333333	851.3333333
SAPCD2	11.33333333	137	186.3333333	168.6666667	265
SASH1	1.333333333	139.6666667	440.3333333	712.3333333	601.3333333
SATB2	1.333333333	79	318.3333333	546	504
SAV1	12.66666667	159.3333333	402.3333333	594.6666667	596.3333333
SBDS	135	702	1428.666667	1950.333333	2026.666667
SBDSP1	33.33333333	173.3333333	345.3333333	578.3333333	502.6666667
SBK3	0	3.333333333	7.666666667	10.33333333	21.33333333
SC5D	32	275.3333333	927	1239.333333	1707.666667
SCARB2	151.6666667	1288.333333	4155.666667	5918	6921.666667
SCCPDH	36.66666667	197.3333333	598	658.3333333	929.3333333
SCD	22	2834.666667	8927.333333	15686.66667	20098
SCEL	2	617.6666667	1781	3437	2731.333333
SCFD2	10	87	268.3333333	396	513
SCG5	0	12.33333333	45.66666667	60.66666667	108.6666667
SCIN	0	12.66666667	54.33333333	72.66666667	158.3333333
SCNN1A	35.66666667	4935	15825.33333	23006	26911.66667
SCNN1B	0.666666667	692	2452.333333	3861	4077.333333
SCNN1G	0.666666667	432	1656.333333	2393.333333	2437.666667
SCOC	54.33333333	253.3333333	670.3333333	970	1267.666667
SCRN1	45.66666667	344.6666667	1018.666667	1478.333333	1556.666667
SDAD1	50.33333333	372.6666667	1065	1888	1887.666667
SDC1	5.333333333	1632	5370	6385	9732
SDC3	0.666666667	286	983	1618.666667	1435.333333
SDC4	12.66666667	2725.666667	8322	12612	17397.33333
SDR16C5	0	249.6666667	819.3333333	1164	1289.333333
SDSL	0.666666667	41.33333333	138.3333333	153.3333333	223.3333333
SEC14L2	0.666666667	20.33333333	49.33333333	71.66666667	111.3333333
SEC22A	17.66666667	88.33333333	208.6666667	222.3333333	351.6666667
SEC31A	240.6666667	1288	3586.666667	5687	6001.666667
SEC61G	27.33333333	115.6666667	223.3333333	283.3333333	432
SEH1L	18.33333333	82	218.6666667	299.6666667	472.3333333
SEL1L3	138	734.6666667	2427	3201	3965.666667
SELENBP1	0.666666667	83.33333333	231	242.6666667	349.6666667
SELENOI	53.33333333	227	634.6666667	863.3333333	1198.333333
SELENOM	8.666666667	71.66666667	136.6666667	159.6666667	216.3333333
SELENOP	1.333333333	14	26.33333333	35.33333333	39.33333333
SELENOS	83.33333333	242.3333333	486	472.3333333	692.3333333
SEM1	23.66666667	528	1390.666667	1943.666667	2378
SEMA3A	0.666666667	201	628.6666667	1246.666667	1299.333333
SEMA3E	0	44	150.6666667	226.6666667	304.3333333
SEMA3F	0	8.666666667	32	35.33333333	67.66666667
SEMA3G	0	4.333333333	5.333333333	3.333333333	5.333333333
SEMA4F	14.66666667	81.33333333	185.3333333	226.3333333	344
43718	2	178.6666667	541	857	925.3333333
43719	74.66666667	632	2040.333333	3429	3531
SERBP1P5	10	31.66666667	85.66666667	156	146.6666667
SERHL	0.333333333	6.333333333	8.333333333	9	24.66666667
SERINC2	9	502.3333333	1546.666667	2189	2546.666667
SERPINA3	0	6	13	6.666666667	34.66666667
SERPINA5	0	11	18.33333333	20	24.66666667
SERPINA6	0	16.33333333	35.33333333	32.33333333	20
SERPINB5	0	24.66666667	80	138.3333333	143
SERPINB6	112.6666667	376.6666667	940.3333333	1319	1629
SERPINB7	0	8	12.66666667	22.33333333	16.33333333
SERPINE1	6	442.3333333	1285	2075.333333	2057.333333
SERPINH1	2.666666667	356	1187	1480	1931.333333
SERPINI1	2.666666667	16.66666667	45.66666667	55.66666667	76.33333333
SERTAD4	0	72	253.3333333	389	481
SERTAD4-AS1	0	9.333333333	20.66666667	22	23.33333333
SETD7	63	593.6666667	2038	3023.333333	3331
SEZ6L2	0.666666667	85.33333333	267.6666667	353.6666667	605
SFN	84.66666667	270.3333333	411	545.3333333	772.6666667
SFTA1P	0	28	66	74.66666667	86.66666667
SFTA2	0	190.3333333	422.3333333	793.6666667	807.3333333
SFTA3	0	16.33333333	57	72.66666667	103.6666667
SFTPA1	0.666666667	83	199	331	749
SFTPA2	0	168.3333333	357	484	1099
SFTPB	23.66666667	5934.666667	17893.66667	28729.33333	36796
SFTPD	0	7.666666667	35.66666667	47.33333333	38.33333333
SGCE	2.666666667	421	1285.666667	1793.666667	1936
SGMS2	25.33333333	323.6666667	1072	2112.333333	2628.666667
SGO1	4.666666667	34.33333333	47	65	66.66666667
SGO2	16	117.3333333	208.6666667	276	277.3333333
SGPP2	15	798.6666667	2939.666667	5135.333333	4832
SH2D3A	36.33333333	311	868.6666667	1275	1350.333333
SH2D4A	4.666666667	133.3333333	470.3333333	640	671.3333333
SH2D5	0	6.333333333	13.66666667	21.66666667	20
SH3BGRL2	12.33333333	207	707	1046.666667	1287.333333
SH3BP4	4.333333333	762.3333333	2301.666667	3388.333333	3872
SH3D19	1.333333333	394.3333333	1283.333333	2324.666667	2077.666667
SH3PXD2B	2.666666667	149.6666667	550.6666667	771.6666667	1175
SH3RF1	10	229.6666667	603	994.3333333	1153.666667
SH3RF2	1.333333333	73.66666667	181	333.3333333	535.6666667
SHANK2	1.333333333	36.66666667	147.3333333	271	282
SHANK3	0	5.333333333	13.66666667	21	25
SHB	0.666666667	58.33333333	140.6666667	206.3333333	290.6666667
SHCBP1	12.66666667	64.66666667	119.6666667	164.6666667	215.6666667
SHMT1	10.33333333	113.6666667	268.6666667	344	449.6666667
SHMT2	34.66666667	203.3333333	585	771	1184.666667
SHPK	2.333333333	16	42	58.33333333	68.66666667
SHQ1	17	92.33333333	256.3333333	361	458.3333333
SHROOM1	0.666666667	15.66666667	44	42	48.66666667
SHROOM3	0.666666667	385.3333333	1196.333333	1864	1808
SHTN1	20	122.3333333	324.3333333	602	550
SIK1	0.333333333	149	269	338.6666667	395.3333333
SIK1B	2.666666667	133	106.6666667	110	116.3333333
SIL1	20.66666667	90.66666667	242	320.6666667	446.3333333
SINHCAF	88	362.3333333	995.6666667	1673.333333	1794
SIX1	0	12	51	69	86.33333333
SIX4	0	159.6666667	371	455.6666667	465.6666667
SIX5	0.333333333	13	38.33333333	46	57.66666667
SKA1	0.666666667	36.66666667	81.66666667	91	128
SKA2	13	152	404	570	616
SKA3	0	26.66666667	61	109.6666667	133.6666667
SLC12A2	20.66666667	100	356.6666667	433.3333333	571.6666667
SLC12A8	2.333333333	23.66666667	28.66666667	55	213.3333333
SLC13A3	0	25	57.66666667	71.33333333	94
SLC16A1	4.666666667	51	172	240.6666667	284.3333333
SLC16A12	1	52.33333333	148.6666667	250.3333333	187.6666667
SLC16A9	0	43.66666667	159.3333333	162	285.6666667
SLC19A2	37.33333333	165	376.3333333	390.3333333	427.6666667
SLC1A1	0	72.66666667	246	305.3333333	425
SLC1A4	12	79.66666667	379.3333333	463	601
SLC1A5	21.33333333	749.6666667	2427	3098	4525.333333
SLC20A2	38	600	1904	2943	3617.333333
SLC22A18AS	2	23.33333333	88.66666667	131.3333333	145.6666667
SLC22A31	0.666666667	117	305.6666667	303	1085.333333
SLC25A10	0.333333333	22.33333333	44.66666667	45	82.33333333
SLC25A13	102.6666667	458	1184.333333	2124	1989
SLC25A15	2.333333333	29.33333333	68	88.66666667	126
SLC25A21	0	7	28.33333333	56.66666667	84.66666667
SLC25A21-AS1	0	17	44.66666667	46	67.33333333
SLC25A23	12	150	409.3333333	702.6666667	771
SLC25A25	44.66666667	178	323.3333333	320	417.6666667
SLC25A26	11.33333333	84.66666667	308.6666667	355.3333333	525
SLC25A32	29	116.6666667	309.3333333	375	470
SLC25A33	7.666666667	56.33333333	131.6666667	151.3333333	181.6666667
SLC25A36	86.33333333	422.6666667	1090	1508	1647.666667
SLC25A39	80	759.3333333	1959.333333	2233.666667	3267
SLC25A4	10	103.3333333	288	312.6666667	524
SLC25A43	6.666666667	250.6666667	810.3333333	1155	1182.666667
SLC25A5	243.3333333	1181.333333	3312	3496.666667	5724.333333
SLC25A51	18.66666667	79.66666667	158.6666667	183.6666667	187.3333333
SLC26A9	0	18	57	101.3333333	117
SLC27A2	3	22.33333333	93	101.6666667	190.3333333
SLC27A4	24	298.3333333	878	1109.333333	1515.333333
SLC28A3	0	9.666666667	32.66666667	40.33333333	29.66666667
SLC29A2	14.66666667	65.66666667	128.6666667	226.6666667	240
SLC2A1	117	813	2272.333333	3099.666667	4043.666667
SLC2A12	1.333333333	15.33333333	40	50.33333333	53.66666667
SLC2A8	5.333333333	31.33333333	47	58	99
SLC34A2	12	2613.666667	12176.33333	14493.66667	16997.33333
SLC35B2	80.33333333	578	1733.666667	1822	1736.666667
SLC35D2	30	182.3333333	406	548.3333333	677.3333333
SLC35F2	12	506.6666667	1511	2265.333333	2634.333333
SLC35G2	1.333333333	28.33333333	82.33333333	83.66666667	141
SLC38A7	13.66666667	75	239.3333333	311.3333333	451.6666667
SLC39A11	33.33333333	113.6666667	299.3333333	428.3333333	635.3333333
SLC39A14	13.66666667	215	675.3333333	882.6666667	1207
SLC39A4	6.666666667	50.33333333	98.66666667	110.6666667	189.3333333
SLC39A8	15	195.3333333	653.6666667	1017.333333	1031.666667
SLC3A2	232.6666667	1843.666667	4602.666667	5670.333333	8167.666667
SLC41A1	31.66666667	117	282.6666667	443	519
SLC41A2	5	75.33333333	243	358.3333333	383
SLC41A3	24.66666667	233.3333333	725.3333333	844.3333333	1182.666667
SLC44A3	1	27	68.33333333	104.6666667	149.6666667
SLC44A3-AS1	1.666666667	13	28.66666667	40	53.66666667
SLC44A4	0	83	266.3333333	350.6666667	478.6666667
SLC46A1	2.333333333	75	189.6666667	301.3333333	381
SLC4A11	1.333333333	29.33333333	99.66666667	121.6666667	123.6666667
SLC4A2	175.6666667	691.6666667	1642.333333	1594.666667	2428
SLC4A4	4	33.66666667	102.6666667	143.3333333	187
SLC50A1	64.66666667	303	774	1112.333333	1635.666667
SLC52A3	0	20.33333333	36	44.33333333	68
SLC5A6	35.33333333	186.3333333	480.3333333	549.3333333	905.6666667
SLC6A14	0	6.666666667	21.33333333	25.33333333	67
SLC6A9	0	233.3333333	790.6666667	1028	1268.666667
SLC7A1	32.66666667	787	2991	4387	5309.666667
SLC7A11	38	636.3333333	2078.333333	3328.333333	4013.333333
SLC7A5	43.66666667	2821.666667	9796	12322	13891.33333
SLC7A5P1	0	8.333333333	10	7.666666667	13
SLC9A3R2	1.333333333	165.6666667	452	481	780.6666667
SLCO4A1	0.666666667	62	171	243	296.6666667
SLCO4A1-AS1	1.333333333	105.3333333	245.6666667	315	386.6666667
SLIRP	36.66666667	154.3333333	336	379	548
SLITRK5	0	5.333333333	17.33333333	28.66666667	38
SLITRK6	0	8.666666667	22	36.33333333	31.33333333
SMAD1	2	24	103.3333333	154.6666667	148.3333333
SMAGP	36.33333333	142.3333333	341	458.3333333	643.6666667
SMARCA1	0.666666667	93	349	512.6666667	495.3333333
SMARCA4	258	925.6666667	2206	2707	3182.333333
SMC2	20	103	254.3333333	411	456
SMG7-AS1	3	24	48	50	50.33333333
SMIM13	15.33333333	73	246	321.6666667	407.6666667
SMIM15	25.33333333	136.3333333	405.6666667	628.6666667	768.6666667
SMIM22	0	12.66666667	38	28	80.66666667
SMIM30	8.666666667	81.66666667	270.3333333	356.6666667	438.6666667
SMIM31	0.666666667	27.66666667	82.33333333	87.66666667	142.6666667
SMN1	7.333333333	47	116	101.3333333	137.3333333
SMN2	2.666666667	13.33333333	29.33333333	52	84.66666667
SMPD4	108.6666667	456.6666667	1008.666667	1311.333333	1734
SMPDL3B	36.66666667	170.6666667	513.3333333	627	879.3333333
SMTN	7.666666667	92	220.3333333	287.3333333	362.6666667
SMYD3	7.333333333	140.3333333	408	524.6666667	727
SMYD5	31	233	548.6666667	739.3333333	1198
SNAI1	2.666666667	74	108.3333333	128.6666667	130.6666667
SNAI2	0.666666667	117.3333333	335	707.6666667	600.3333333
SNAPC1	28.33333333	110	213	317.3333333	276
SND1	125	1040.666667	2827	3529.333333	5656
SNHG1	163.3333333	884	1598.666667	1743.333333	2362.333333
SNHG15	37.66666667	160.3333333	303	343	537.3333333
SNHG17	38.33333333	165.3333333	328	256.6666667	483.6666667
SNHG29	81.66666667	916	2229.666667	3181	4515.666667
SNHG5	105.6666667	860.3333333	1653.666667	1666.333333	2734.666667
SNHG8	44.66666667	289	581.6666667	634	1057.666667
SNORD3A	1.333333333	21.33333333	19	13.33333333	18
SNRNP40	55.33333333	205	541.3333333	675	922.6666667
SNRPC	59.33333333	381	972.3333333	1277.333333	1623.666667
SNRPD1	24	163.6666667	487.3333333	610	855
SNRPD2	84.66666667	437	1009.666667	1370	1869
SNRPE	56.33333333	208	484.6666667	551.3333333	901.3333333
SNRPEP2	0	3.333333333	5	6.666666667	12
SNRPF	15.33333333	134.3333333	333.6666667	444	632
SNTA1	4	112.3333333	291.6666667	376.3333333	530.6666667
SNTB1	138.3333333	858.3333333	3070	4450	4828.666667
SNU13	130.3333333	541.3333333	1278.333333	1593.666667	2289
SNX12	85.66666667	291.3333333	935.3333333	1213.666667	1680.333333
SNX24	4	166.3333333	469	760	805.6666667
SNX25	17.33333333	206.6666667	592.3333333	751	754.3333333
SNX33	7.333333333	83.33333333	283	342	428.6666667
SNX5	123.6666667	496.6666667	1303.333333	1747.666667	2270
SNX7	0	52	173	259	235
SNX8	13	410.6666667	999.6666667	1374.666667	1574
SNX9	33.33333333	294	815	1282.666667	1330.333333
SOCS6	12.66666667	99.66666667	293.6666667	393	461.3333333
SOCS7	56.33333333	250.3333333	837.6666667	1029	1257.333333
SOD1	91.33333333	465.6666667	1053	1252.666667	1860
SOWAHB	0	45.66666667	201.3333333	233	314.3333333
SOWAHC	1.333333333	60.66666667	181.3333333	254.3333333	352.6666667
SOX2	0	42.66666667	160.6666667	150.3333333	224.6666667
SOX4	7.333333333	131.3333333	356	444.6666667	694.6666667
SOX9	0	8.666666667	25.66666667	53.66666667	84.66666667
SP2-AS1	3.333333333	21	47.33333333	64.66666667	51.33333333
SPAG16	3.666666667	45.66666667	140.6666667	224.3333333	272
SPAG4	5	51.33333333	81	82.33333333	161.6666667
SPAG5	11.66666667	439.3333333	657.3333333	727	821.6666667
SPATA17	0	3.333333333	19	37	36.66666667
SPATA20	28.66666667	186	465.3333333	549	810.3333333
SPATA6L	2.666666667	13	31	46.33333333	54
SPATA7	2.666666667	44.33333333	84	136	153.6666667
SPATS2	6.666666667	98.66666667	308	421.3333333	408.3333333
SPATS2L	34.33333333	1097	2751.666667	4738.666667	4848.333333
SPC24	0.666666667	21.33333333	32.66666667	57	77.66666667
SPDL1	17.66666667	89.66666667	156.6666667	232	238
SPDYE3	5	39.66666667	104.3333333	160	142.6666667
SPIN4	5	40.33333333	101	200.6666667	321
SPINDOC	17	63	176.6666667	188.3333333	250.3333333
SPINK1	0.666666667	15.66666667	37	37	35.66666667
SPINK5	0	10	23.33333333	12.66666667	29.33333333
SPINT1	302.6666667	1581.666667	4680.666667	5529	8561
SPINT1-AS1	0.666666667	17.66666667	50.33333333	61	75.66666667
SPINT2	159.6666667	1117.333333	2986.666667	3704	5544.666667
SPIRE1	6	190	683.6666667	1037	951.3333333
SPIRE2	2.666666667	100	212	227.3333333	356.6666667
SPR	1.333333333	48	196.6666667	190.6666667	429.6666667
SPRED1	6.666666667	206	751.3333333	1080.666667	1137.333333
SPRED2	30.33333333	703.3333333	2304.333333	3589.333333	3437
SPRED3	2	13	46	60	60.33333333
SPRR1A	0	21	38.66666667	52.33333333	60.66666667
SPRR1B	0	286.6666667	920	1334.666667	1560.666667
SPRR2A	0	10.66666667	22.66666667	43.33333333	53.33333333
SPRR2C	0	48.33333333	155.6666667	398.6666667	307.6666667
SPRR2D	1.333333333	409.6666667	1194.333333	2087.666667	2465
SPRR2E	0	65.33333333	132	198	240.6666667
SPRR3	0	104	208.6666667	215.6666667	268.3333333
SPRY1	5.333333333	77.66666667	228	244	285.6666667
SPRY4	0	399.3333333	1089.333333	1815.333333	1512.666667
SPRYD7	9.666666667	57	180.6666667	214.6666667	242.6666667
SPSB1	1.666666667	213.3333333	535.3333333	750	1155.333333
SPTB	52.66666667	418.3333333	1168.333333	1230.333333	1930.666667
SPTBN2	1.333333333	126.3333333	388.3333333	435.6666667	592.6666667
SPTLC3	1.333333333	62.66666667	183	268	322.6666667
SPTSSA	12.33333333	319.3333333	1251.666667	1572.333333	2129
SPX	0	6.666666667	18.66666667	23.33333333	26.33333333
SQLE	10.66666667	610	2054.666667	3458.666667	3564.666667
SRCIN1	0	44.33333333	128	152	209
SRD5A1	28	533.6666667	1739.333333	2527.666667	2985.333333
SRD5A2	0	7.666666667	22.33333333	22	33.66666667
SRD5A3	4.333333333	238.6666667	813.6666667	980.3333333	1174.666667
SRD5A3-AS1	1	16	28.66666667	47.33333333	42.33333333
SREBF2	204	1245.333333	3361	4907	5799.666667
SRFBP1	5.333333333	55	181.3333333	318.6666667	399.6666667
SRGAP1	1.333333333	190	609.3333333	1187	813.6666667
SRM	12.66666667	210.6666667	578.3333333	807	1189.333333
SRP72	195	821	2306.333333	3814	3897.333333
SRPRB	18.33333333	218.6666667	676.6666667	906.3333333	1510.666667
SRPX2	2	213	832.3333333	1013	1577.666667
SSB	92.66666667	463.6666667	1286	2024	2079
SSBP1	93.66666667	456.6666667	1272.333333	1578.666667	2058
SSRP1	75	887.6666667	2536.333333	3297.333333	4204.333333
SSSCA1	21.33333333	165.6666667	375	442	649.3333333
ST14	79.33333333	1226.666667	3492	4428.666667	6730.666667
ST5	4.333333333	74.33333333	246	315.3333333	425.6666667
ST6GALNAC1	9	232.3333333	800.6666667	984	1022.666667
ST7	7.333333333	109.6666667	291.6666667	423	462.3333333
ST7L	28	102	149	163.6666667	191.3333333
STAP2	1	105	271	260.3333333	415.6666667
STARD13	0	51.33333333	160.3333333	237	229
STARD7	130.6666667	674.3333333	1965.666667	2501.333333	3280.666667
STEAP1	0	93	278	401.3333333	523
STEAP2	0	90.33333333	325.6666667	493	504.6666667
STEAP3	9.333333333	460.3333333	1520.666667	2182	2730.333333
STIL	4	120.3333333	220.3333333	367	337.6666667
STIP1	228.6666667	1029	2511.333333	3562.333333	3774
STK32A	0	171	586	938.6666667	953
STK39	29.33333333	424.3333333	1410	1963.333333	2000.666667
STMN1	27.33333333	383	541.3333333	748.3333333	883.3333333
STOML2	94	369.6666667	913.3333333	1064.333333	1546.333333
STPG1	7.333333333	52	129.6666667	169.6666667	235.6666667
STRA6	2	238	708.6666667	926	1241
STRAP	159.6666667	901	1983.333333	2522.333333	3102
STRIP2	2	19	66	71.66666667	151.6666667
STS	94	337.6666667	968.6666667	1493.666667	1650.666667
STT3A	178.6666667	672.6666667	1701.333333	2717	3138.333333
STX18	48.66666667	164.3333333	340.6666667	461.3333333	588
STX18-AS1	0.666666667	7.333333333	18.66666667	17.33333333	23.66666667
STX1A	3.333333333	80	164.6666667	201	243.6666667
STXBP1	4.666666667	62.33333333	255.6666667	356.3333333	383.3333333
STXBP6	0	8	29.33333333	34.66666667	41.66666667
STYK1	4.666666667	165	456	639.6666667	662.6666667
SUCLA2	16	131.6666667	324.6666667	434.6666667	527
SUCLG2	33.33333333	334	1000.666667	1519	1977.666667
SULT1C2	0	13.66666667	36.33333333	24	95
SULT2B1	0	8	35.33333333	46.66666667	90.66666667
SULT6B1	1.333333333	42.66666667	102.6666667	142.6666667	188.3333333
SUMO3	76.33333333	487	1366.333333	1896.333333	2360
SUN1	129.3333333	535	1451.333333	1751.333333	2592.333333
SUPV3L1	38.66666667	172.6666667	409.6666667	588.6666667	636.6666667
SYBU	0.666666667	203.6666667	728	967.6666667	1007
SYDE2	3.333333333	55	121.6666667	175.3333333	179
SYNCRIP	257.6666667	848	2130.666667	3120.333333	3631.333333
SYNPO	1.333333333	102	221.6666667	219.3333333	187.3333333
SYNPR-AS1	0	13.66666667	43	83.66666667	59
SYPL1	109.3333333	547.6666667	1614.666667	2207.333333	2683
SYT1	0	24.33333333	44.33333333	82.33333333	68.33333333
SYT12	0.666666667	457.3333333	1393.666667	1752.666667	2711
SYT17	0	4.666666667	19.33333333	26.33333333	32.66666667
