Geneid	Blood	1 hour	2 hours	4 hours	6 hours
PARM1	3.333333333	413.3333333	1652.333333	2169.666667	2222
PARP1	160	568.6666667	1544.333333	2239	2803
PARP2	23.66666667	132.3333333	351.6666667	483.6666667	588
PARPBP	1	28	40	44.66666667	60.66666667
PARVA	3.333333333	102.3333333	310.6666667	454.6666667	499
PATJ	90.66666667	481	1390	1955.666667	2091
PAWR	8	192.3333333	618.3333333	862	953.6666667
PAX9	0	85.66666667	288	430.3333333	462
PBDC1	25	130	336	583.3333333	644
PBK	0	25	46	45.33333333	59
PC	1.666666667	334	904.3333333	1110.666667	1561.333333
PCBD1	5.333333333	124.6666667	365.3333333	461.3333333	613.6666667
PCCB	31	226	655.6666667	733.6666667	1157
PCDH1	2.666666667	425	1140.666667	1562	1984
PCDH7	1.333333333	75.33333333	275.6666667	436	544.3333333
PCDHA11	0	5.333333333	7.333333333	14	26.33333333
PCDHA4	0	15.66666667	53.33333333	70.66666667	114.6666667
PCDHAC1	0	51.66666667	208	254.3333333	340.6666667
PCDHAC2	0	16	46.66666667	62	63.66666667
PCDHB14	0	4.666666667	15.66666667	38.66666667	19
PCDHGA9	0	4	11.33333333	17.33333333	13
PCDHGB2	0	13	53.33333333	81	94.33333333
PCDHGB5	0	18.33333333	93	157	188
PCGF1	38.66666667	138.3333333	309	414	452.3333333
PCGF2	1.333333333	89.66666667	253.3333333	411.3333333	434.3333333
PCGF6	3.333333333	28.33333333	54.33333333	64	91
PCK2	47.66666667	370.3333333	1165.333333	1237.666667	1993.666667
PCLO	0	122.3333333	259.3333333	386.6666667	259.3333333
PCSK4	2	11	18.66666667	30	33
PCYOX1	56.33333333	281.3333333	1021.666667	1410.333333	1606.333333
PCYT2	42.33333333	273.3333333	720.3333333	911.6666667	1173.333333
PDCD11	99.66666667	412.6666667	1018.333333	1348.333333	1792
PDCD2L	0.333333333	29	71.33333333	81.33333333	128
PDCL3	12	73	215.6666667	273.6666667	346.6666667
PDE12	45	137.6666667	308.6666667	456.6666667	522.3333333
PDE1A	0	4	11.33333333	17.33333333	21.66666667
PDE2A	33.66666667	100.6666667	227.6666667	259.6666667	348.3333333
